strategy,budget,seeds,malignant_yield,malignant_sd,benign_yield,mean_entropy,malignant_recall,frac_of_pool
entropy,10,1,5,0.0,2,1.0153,0.135,0.061
entropy,20,1,9,0.0,2,0.9419,0.243,0.121
entropy,30,1,11,0.0,2,0.9039,0.297,0.182
entropy,40,1,14,0.0,4,0.8779,0.378,0.242
entropy,50,1,14,0.0,5,0.8565,0.378,0.303
entropy,60,1,16,0.0,7,0.8351,0.432,0.364
entropy,80,1,18,0.0,11,0.7916,0.486,0.485
entropy,100,1,21,0.0,12,0.7493,0.568,0.606
margin,10,1,3,0.0,0,0.8472,0.081,0.061
margin,20,1,7,0.0,2,0.8862,0.189,0.121
margin,30,1,8,0.0,3,0.8733,0.216,0.182
margin,40,1,10,0.0,4,0.8591,0.27,0.242
margin,50,1,13,0.0,4,0.8527,0.351,0.303
margin,60,1,15,0.0,6,0.8299,0.405,0.364
margin,80,1,18,0.0,10,0.7901,0.486,0.485
margin,100,1,20,0.0,12,0.7478,0.541,0.606
random,10,200,2.38,1.34,0.96,0.624,0.064,0.061
random,20,200,4.61,1.77,2.04,0.6264,0.125,0.121
random,30,200,6.83,2.1,3.19,0.6282,0.185,0.182
random,40,200,8.94,2.33,4.24,0.6292,0.241,0.242
random,50,200,11.28,2.46,5.24,0.63,0.305,0.303
random,60,200,13.51,2.66,6.32,0.629,0.365,0.364
random,80,200,17.89,2.8,8.38,0.6287,0.484,0.485
random,100,200,22.23,2.82,10.31,0.6304,0.601,0.606
